name, state_code, country_name, i94_port_code
ALCAN, AK, UNITED STATES, ALC
ANCHORAGE, AK, UNITED STATES, ANC
BAKER AAF - BAKER ISLAND, AK, UNITED STATES, BAR
DALTONS CACHE, AK, UNITED STATES, DAC
DEW STATION PT LAY DEW, AK, UNITED STATES, PIZ
DUTCH HARBOR, AK, UNITED STATES, DTH
EAGLE, AK, UNITED STATES, EGL
FAIRBANKS, AK, UNITED STATES, FRB
HOMER, AK, UNITED STATES, HOM
HYDER, AK, UNITED STATES, HYD
JUNEAU, AK, UNITED STATES, JUN
KETCHIKAN, AK, UNITED STATES, 5KE
KETCHIKAN, AK, UNITED STATES, KET
MOSES POINT INTERMEDIATE, AK, UNITED STATES, MOS
NIKISKI, AK, UNITED STATES, NIK
NOM, AK, UNITED STATES, NOM
POKER CREEK, AK, UNITED STATES, PKC
PORT LIONS SPB, AK, UNITED STATES, ORI
SKAGWAY, AK, UNITED STATES, SKA
ST. PAUL ISLAND, AK, UNITED STATES, SNP
TOKEEN, AK, UNITED STATES, TKI
WRANGELL, AK, UNITED STATES, WRA
MADISON COUNTY - HUNTSVILLE, AL, UNITED STATES, HSV
MOBILE, AL, UNITED STATES, MOB
LITTLE ROCK, AR, UNITED STATES, LIA
ROGERS ARPT, AR, UNITED STATES, ROG
DOUGLAS, AZ, UNITED STATES, DOU
LUKEVILLE, AZ, UNITED STATES, LUK
MARIPOSA, AZ, UNITED STATES, MAP
NACO, AZ, UNITED STATES, NAC
NOGALES, AZ, UNITED STATES, NOG
PHOENIX, AZ, UNITED STATES, PHO
PORTAL, AZ, UNITED STATES, POR,
SAN LUIS, AZ, UNITED STATES, SLU
SASABE, AZ, UNITED STATES, SAS
TUCSON, AZ, UNITED STATES, TUC
YUMA, AZ, UNITED STATES, YUI
ANDRADE, CA, UNITED STATES, AND
BURBANK, CA, UNITED STATES, BUR
CALEXICO, CA, UNITED STATES, CAL
CAMPO, CA, UNITED STATES, CAO
FRESNO, CA, UNITED STATES, FRE
IMPERIAL COUNTY, CA, UNITED STATES, ICP
LONG BEACH, CA, UNITED STATES, LNB
LOS ANGELES, CA, UNITED STATES, LOS
MEADOWS FIELD - BAKERSFIELD, CA, UNITED STATES, BFL
OAKLAND, CA, UNITED STATES, OAK
ONTARIO, CA, UNITED STATES, ONT
OTAY MESA, CA, UNITED STATES, OTM
"PACIFIC, HWY. STATION", CA, UNITED STATES, BLT
PALM SPRINGS, CA, UNITED STATES, PSP
SACRAMENTO, CA, UNITED STATES, SAC
SALINAS, CA, UNITED STATES, SLS
SAN DIEGO, CA, UNITED STATES, SDP
SAN FRANCISCO, CA, UNITED STATES, SFR
SAN JOSE, CA, UNITED STATES, SNJ
SAN LUIS OBISPO, CA, UNITED STATES, SLO
SAN LUIS OBISPO, CA, UNITED STATES, SLI
SAN PEDRO, CA, UNITED STATES, SPC
SAN YSIDRO, CA, UNITED STATES, SYS
SANTA ANA, CA, UNITED STATES, SAA
STOCKTON, CA, UNITED STATES, STO
TECATE, CA, UNITED STATES, TEC
TRAVIS-AFB, CA, UNITED STATES, TRV
ARAPAHOE COUNTY, CO, UNITED STATES, APA
ASPEN, CO, UNITED STATES, ASE
COLORADO SPRINGS, CO, UNITED STATES, COS
DENVER, CO, UNITED STATES, DEN
LA PLATA - DURANGO, CO, UNITED STATES, DRO
BRADLEY INTERNATIONAL, CT, UNITED STATES, BDL
BRIDGEPORT, CT, UNITED STATES, BGC
GROTON, CT, UNITED STATES, GRT
HARTFORD, CT, UNITED STATES, HAR
NEW HAVEN, CT, UNITED STATES, NWH
NEW LONDON, CT, UNITED STATES, NWL
NEWINGTON DATA CENTER TEST, CT, UNITED STATES, TST
WASHINGTON, DC, UNITED STATES, WAS
DOVER AFB, DE, UNITED STATES, DOV
DOVER-AFB, DE, UNITED STATES, DVD
WILMINGTON, DE, UNITED STATES, WLL
BOCAGRANDE, FL, UNITED STATES, BOC
BRADENTON - SARASOTA, FL, UNITED STATES, SRQ
CAPE CANAVERAL, FL, UNITED STATES, CAN
DAYTONA BEACH INTERNATIONAL, FL, UNITED STATES, DAB
FERNANDINA, FL, UNITED STATES, FRN
FORT LAUDERDALE, FL, UNITED STATES, FTL
FORT MYERS, FL, UNITED STATES, FMY
FORT PIERCE, FL, UNITED STATES, FPF
HURLBURT FIELD, FL, UNITED STATES, HUR
J R ALISON MUNI - GAINESVILLE, FL, UNITED STATES, GNV
JACKSONVILLE, FL, UNITED STATES, JAC
KEY WEST, FL, UNITED STATES, KEY
LEESBURG MUNICIPAL AIRPORT, FL, UNITED STATES, LEE
MELBOURNE, FL, UNITED STATES, MLB
MIAMI, FL, UNITED STATES, MIA
NAPLES, FL, UNITED STATES, APF
OPA LOCKA, FL, UNITED STATES, OPF
ORLANDO, FL, UNITED STATES, ORL
PANAMA CITY, FL, UNITED STATES, PAN
PENSACOLA, FL, UNITED STATES, PEN
PORT CANAVERAL, FL, UNITED STATES, PCF
PORT EVERGLADES, FL, UNITED STATES, PEV
PORT ST JOE, FL, UNITED STATES, PSJ
SANFORD, FL, UNITED STATES, SFB
ST AUGUSTINE ARPT, FL, UNITED STATES, SGJ
ST AUGUSTINE, FL, UNITED STATES, SAU
ST LUCIE COUNTY, FL, UNITED STATES, FPR
ST PETERSBURG, FL, UNITED STATES, SPE
TAMPA, FL, UNITED STATES, TAM
WEST PALM BEACH, FL, UNITED STATES, WPB
ATLANTA, GA, UNITED STATES, ATL,
BRUNSWICK, GA, UNITED STATES, BRU
BUSH FIELD - AUGUSTA, GA, UNITED STATES, AGS
SAVANNAH, GA, UNITED STATES, SAV
AGANA, GU, UNITED STATES, AGA
HONOLULU, HI, UNITED STATES, HHW
KAHULUI - MAUI, HI, UNITED STATES, OGG
KEAHOLE-KONA, HI, UNITED STATES, KOA
LIHUE, HI, UNITED STATES, LIH
CEDAR RAPIDS/IOWA CITY, IA, UNITED STATES, CID
DES MOINES, IA, UNITED STATES, DSM
AIR TERM. (GOWEN FLD) BOISE, ID, UNITED STATES, BOI
EASTPORT, ID, UNITED STATES, EPI
FANNING FIELD - IDAHO FALLS, ID, UNITED STATES, IDA
PORTHILL, ID, UNITED STATES, PTL
CAPITAL - SPRINGFIELD, IL, UNITED STATES, SPI
CHICAGO, IL, UNITED STATES, CHI
DUPAGE COUNTY, IL, UNITED STATES, DPA
GREATER PEORIA, IL, UNITED STATES, PIA
GREATER ROCKFORD, IL, UNITED STATES, RFD
MEMORIAL - WAUKEGAN, IL, UNITED STATES, UGN
GARY, IN, UNITED STATES, GAR
HAMMOND, IN, UNITED STATES, HMM
INDIANAPOLIS, IN, UNITED STATES, INP
MERRILLVILLE, IN, UNITED STATES, MRL
SOUTH BEND, IN, UNITED STATES, SBN
MID-CONTINENT - WITCHITA, KS, UNITED STATES, ICT
BLUE GRASS - LEXINGTON, KY, UNITED STATES, LEX
LOUISVILLE, KY, UNITED STATES, LOU
BATON ROUGE, LA, UNITED STATES, BTN
LAKE CHARLES, LA, UNITED STATES, LKC
LAKE CHARLES (BPS), LA, UNITED STATES, LAK
MONROE, LA, UNITED STATES, MLU
MORGAN CITY, LA, UNITED STATES, MGC
NEW ORLEANS, LA, UNITED STATES, NOL
BOSTON, MA, UNITED STATES, BOS
GLOUCESTER, MA, UNITED STATES, GLO
HANSCOM FIELD - BEDFORD, MA, UNITED STATES, BED
LYNDEN, WA, UNITED STATES, LYN
ANDREWS AFB, MD, UNITED STATES, ADW
BALTIMORE, MD, UNITED STATES, BAL
MUSKEGON, MD, UNITED STATES, MKG
PATUXENT RIVER, MD, UNITED STATES, PAX
BANGOR, ME, UNITED STATES, BGM
BOOTHBAY HARBOR, ME, UNITED STATES, BOO
BRIDGEWATER, ME, UNITED STATES, BWM
